neighborhood,month,avg_rent,median_rent,rent_std,affordability_ratio,is_affordable,year,prev_year_rent,yoy_change
Boston Metro Area,2018-09,2350.6386406854463,2350.6386406854463,0,1.1753193203427232,False,2018,2273.7962964975745,3.3794735397465145
Boston Metro Area,2018-10,2334.121564916294,2334.121564916294,0,1.1670607824581472,False,2018,2251.5958440463755,3.6652102147075567
Boston Metro Area,2018-11,2328.012600730077,2328.012600730077,0,1.1640063003650385,False,2018,2248.4708278663743,3.5375941674627644
Boston Metro Area,2018-12,2339.3836127264826,2339.3836127264826,0,1.1696918063632413,False,2018,2263.321080337358,3.360660272637369
Boston Metro Area,2019-01,2360.580973743055,2360.580973743055,0,1.1802904868715276,False,2019,2291.383848330539,3.0198836158739533
Boston Metro Area,2019-02,2387.887510722256,2387.887510722256,0,1.193943755361128,False,2019,2315.873619620071,3.1095777633150448
Boston Metro Area,2019-03,2409.2107444300195,2409.2107444300195,0,1.2046053722150099,False,2019,2337.0990393825014,3.085522001094623
Boston Metro Area,2019-04,2424.799895508177,2424.799895508177,0,1.2123999477540885,False,2019,2353.2318661030727,3.0412655223652196
Boston Metro Area,2019-05,2439.118488651872,2439.118488651872,0,1.2195592443259362,False,2019,2368.3137049960146,2.9896708154199843
Boston Metro Area,2019-06,2452.0146897280297,2452.0146897280297,0,1.2260073448640147,False,2019,2375.7349793589583,3.210783653556082
Boston Metro Area,2019-07,2460.3519513357887,2460.3519513357887,0,1.2301759756678943,False,2019,2379.6220033966315,3.3925534317603674
Boston Metro Area,2019-08,2452.8543536140032,2452.8543536140032,0,1.2264271768070016,False,2019,2368.659137384217,3.554551809542573
Boston Metro Area,2019-09,2438.649842444569,2438.649842444569,0,1.2193249212222845,False,2019,2350.6386406854463,3.7441400067114814
Boston Metro Area,2019-10,2418.619457006145,2418.619457006145,0,1.2093097285030725,False,2019,2334.121564916294,3.620115308470701
Boston Metro Area,2019-11,2412.646242896812,2412.646242896812,0,1.206323121448406,False,2019,2328.012600730077,3.63544605128828
Boston Metro Area,2019-12,2421.6386422555315,2421.6386422555315,0,1.2108193211277658,False,2019,2339.3836127264826,3.5160983894036555
Boston Metro Area,2020-01,2445.189014566206,2445.189014566206,0,1.222594507283103,False,2020,2360.580973743055,3.5842041329763097
Boston Metro Area,2020-02,2473.1300582024737,2473.1300582024737,0,1.236565029101237,False,2020,2387.887510722256,3.569789074965033
Boston Metro Area,2020-03,2496.19719118482,2496.19719118482,0,1.24809859559241,False,2020,2409.2107444300195,3.610578566275656
Boston Metro Area,2020-04,2495.570510280201,2495.570510280201,0,1.2477852551401003,False,2020,2424.799895508177,2.918616703304994
Boston Metro Area,2020-05,2485.2578076453,2485.2578076453,0,1.2426289038226501,False,2020,2439.118488651872,1.8916390986372125
Boston Metro Area,2020-06,2466.996180101278,2466.996180101278,0,1.233498090050639,False,2020,2452.0146897280297,0.6109869747521705
Boston Metro Area,2020-07,2448.286241734021,2448.286241734021,0,1.2241431208670106,False,2020,2460.3519513357887,-0.49040583788090997
Boston Metro Area,2020-10,2297.599576698622,2297.599576698622,0,1.148799788349311,False,2020,2452.8543536140032,-6.329555470206816
Boston Metro Area,2020-11,2272.5789191137483,2272.5789191137483,0,1.1362894595568742,False,2020,2438.649842444569,-6.809953624352512
Boston Metro Area,2020-12,2272.767422759928,2272.767422759928,0,1.1363837113799642,False,2020,2418.619457006145,-6.030383730839475
Boston Metro Area,2021-01,2293.9543943767385,2293.9543943767385,0,1.1469771971883693,False,2021,2412.646242896812,-4.919571150122815
Boston Metro Area,2021-02,2325.870767250045,2325.870767250045,0,1.1629353836250225,False,2021,2421.6386422555315,-3.954672399689148
